Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Charlotte Hornets,,2015-16 Charlotte Hornets,NBA,,82,,19855,3036,6922,.439,873,2410,.362,2163,4512,.479,.502,1534,1941,.790,734,2869,3603,1778,596,438,1030,1487,8479,
Courtney Lee,2015-16,30,TOT,NBA,SG,79,65,2334,290,639,.454,82,217,.378,208,422,.493,.518,99,118,.839,29,176,205,136,85,28,72,134,
Michael Kidd-Gilchrist,2015-16,22,CHO,NBA,SF,7,7,205,33,61,.541,3,7,.429,30,54,.556,.566,20,29,.690,12,33,45,9,3,3,8,9,
Kemba Walker,2015-16,25,CHO,NBA,PG,81,81,2885,568,1331,.427,182,490,.371,386,841,.459,.495,371,438,.847,56,301,357,421,126,39,171,111,
Cody Zeller,2015-16,23,CHO,NBA,C,73,60,1774,231,437,.529,1,10,.100,230,427,.539,.530,175,232,.754,138,317,455,71,57,63,68,204,
Jeremy Lamb,2015-16,23,CHO,NBA,SG,66,0,1227,230,510,.451,56,181,.309,174,329,.529,.506,64,88,.727,44,208,252,77,42,30,50,105,
Spencer Hawes,2015-16,27,CHO,NBA,PF,57,6,1035,124,306,.405,38,102,.373,86,204,.422,.467,54,65,.831,51,193,244,109,22,27,58,111,
Nicolas Batum,2015-16,27,CHO,NBA,SF,70,70,2448,372,873,.426,139,399,.348,233,474,.492,.506,163,192,.849,55,373,428,403,65,43,205,114,
Marvin Williams,2015-16,29,CHO,NBA,PF,81,81,2338,338,747,.452,152,378,.402,186,369,.504,.554,120,144,.833,127,394,521,110,58,77,62,133,
Al Jefferson,2015-16,31,CHO,NBA,C,47,18,1096,245,505,.485,0,0,,245,505,.485,.485,72,111,.649,57,244,301,70,30,41,34,117,
Troy Daniels,2015-16,24,CHO,NBA,SG,43,0,476,89,187,.476,59,122,.484,30,65,.462,.634,5,9,.556,7,50,57,21,11,3,24,40,
Frank Kaminsky,2015-16,22,CHO,NBA,C,81,3,1708,215,525,.410,68,202,.337,147,323,.455,.474,108,148,.730,69,266,335,98,38,43,58,126,
Jeremy Lin,2015-16,27,CHO,NBA,SG,78,13,2048,300,728,.412,76,226,.336,224,502,.446,.464,238,292,.815,42,211,253,235,58,42,150,165,
Tyler Hansbrough,2015-16,30,CHO,NBA,PF,44,0,343,32,71,.451,2,3,.667,30,68,.441,.465,38,65,.585,40,49,89,8,12,7,12,55,
Aaron Harrison,2015-16,21,CHO,NBA,SG,21,0,93,5,19,.263,3,10,.300,2,9,.222,.342,5,12,.417,4,11,15,2,6,0,4,10,
Jorge Gutierrez,2015-16,27,CHO,NBA,PG,12,0,63,6,11,.545,0,2,.000,6,9,.667,.545,10,11,.909,0,7,7,17,3,0,6,3,
