Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Denver Nuggets,,2015-16 Denver Nuggets,NBA,,82,,19830,3093,7003,.442,656,1943,.338,2437,5060,.482,.489,1513,1974,.766,940,2719,3659,1858,609,395,1202,1723,8355,
Danilo Gallinari,2015-16,27,DEN,NBA,SF,53,53,1839,287,700,.410,87,239,.364,200,461,.434,.472,375,432,.868,52,229,281,135,42,19,77,87,
Wilson Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Faried,2015-16,26,DEN,NBA,PF,67,64,1694,349,626,.558,1,2,.500,348,624,.558,.558,136,222,.613,235,346,581,79,32,60,91,169,
D.J. Augustin,2015-16,28,TOT,NBA,PG,62,0,1178,148,350,.423,68,168,.405,80,182,.440,.520,103,128,.805,8,87,95,198,38,4,84,85,
Gary Harris,2015-16,21,DEN,NBA,SG,76,76,2439,359,765,.469,105,297,.354,254,468,.543,.538,109,133,.820,54,166,220,147,97,18,98,143,
Jusuf Nurkic,2015-16,21,DEN,NBA,C,32,3,547,101,242,.417,0,3,.000,101,239,.423,.417,61,99,.616,65,110,175,40,24,44,55,91,
Joffrey Lauvergne,2015-16,24,DEN,NBA,C,59,15,1041,195,380,.513,13,53,.245,182,327,.557,.530,62,69,.899,77,213,290,56,13,15,54,115,
Emmanuel Mudiay,2015-16,19,DEN,NBA,PG,68,66,2068,329,905,.364,74,232,.319,255,673,.379,.404,140,209,.670,32,200,232,372,65,35,217,141,
Jameer Nelson,2015-16,33,DEN,NBA,PG,39,15,1036,113,307,.368,43,144,.299,70,163,.429,.438,30,35,.857,19,96,115,190,25,5,66,100,
Nikola Jokic,2015-16,20,DEN,NBA,C,80,55,1733,307,600,.512,28,84,.333,279,516,.541,.535,154,190,.811,181,379,560,189,79,50,104,208,
Will Barton,2015-16,25,DEN,NBA,SG,82,1,2353,425,983,.432,112,325,.345,313,658,.476,.489,216,268,.806,59,417,476,203,71,39,139,147,
Darrell Arthur,2015-16,27,DEN,NBA,PF,70,16,1516,221,489,.452,45,117,.385,176,372,.473,.498,40,53,.755,86,207,293,96,53,48,66,185,
Mike Miller,2015-16,35,DEN,NBA,SF,47,2,373,22,62,.355,19,52,.365,3,10,.300,.508,0,0,,6,47,53,40,13,4,17,53,
JaKarr Sampson,2015-16,22,TOT,NBA,SF,73,40,1160,140,317,.442,14,63,.222,126,254,.496,.464,80,122,.656,46,144,190,46,23,33,70,142,
Axel Toupane,2015-16,23,DEN,NBA,SF,21,0,305,25,70,.357,13,40,.325,12,30,.400,.450,13,17,.765,8,23,31,15,7,6,6,40,
