Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 New Orleans Pelicans,,2015-16 New Orleans Pelicans,NBA,,82,,19780,3153,7040,.448,702,1951,.360,2451,5089,.482,.498,1415,1823,.776,782,2712,3494,1818,633,342,1102,1713,8423,
Quincy Pondexter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gordon,2015-16,27,NOP,NBA,SG,45,44,1481,231,552,.418,113,294,.384,118,258,.457,.521,111,125,.888,10,89,99,121,43,14,73,98,
Ryan Anderson,2015-16,27,NOP,NBA,PF,66,7,2008,397,929,.427,131,358,.366,266,571,.466,.498,199,228,.873,131,265,396,73,38,25,90,109,
Anthony Davis,2015-16 ★,22,NOP,NBA,PF,61,61,2164,560,1136,.493,35,108,.324,525,1028,.511,.508,326,430,.758,130,497,627,116,78,125,121,148,
Jrue Holiday,2015-16,25,NOP,NBA,PG,65,23,1831,410,935,.439,87,259,.336,323,676,.478,.485,182,216,.843,27,168,195,391,88,22,167,148,
Tyreke Evans,2015-16,26,NOP,NBA,SG,25,25,765,136,314,.433,33,85,.388,103,229,.450,.486,74,93,.796,20,109,129,164,32,8,73,66,
Alexis Ajinca,2015-16,27,NOP,NBA,C,59,17,861,150,315,.476,0,1,.000,150,314,.478,.476,52,62,.839,75,194,269,31,19,36,54,134,
Omer Asik,2015-16,29,NOP,NBA,C,68,64,1178,104,195,.533,0,0,,104,195,.533,.533,61,112,.545,120,294,414,26,21,23,60,124,
Dante Cunningham,2015-16,28,NOP,NBA,SF,80,46,1971,186,412,.451,55,174,.316,131,238,.550,.518,57,82,.695,57,179,236,77,42,33,41,173,
Luke Babbitt,2015-16,26,NOP,NBA,SF,47,13,845,122,289,.422,44,109,.404,78,180,.433,.498,39,50,.780,25,123,148,53,11,7,23,90,
Alonzo Gee,2015-16,28,NOP,NBA,SF,73,38,1632,132,255,.518,17,60,.283,115,195,.590,.551,44,66,.667,60,185,245,72,63,13,55,169,
Kendrick Perkins,2015-16,31,NOP,NBA,C,37,5,542,40,75,.533,0,0,,40,75,.533,.533,11,25,.440,25,103,128,31,11,11,41,64,
Norris Cole,2015-16,27,NOP,NBA,PG,45,23,1198,196,484,.405,33,102,.324,163,382,.427,.439,52,65,.800,10,141,151,167,37,5,75,102,
Toney Douglas,2015-16,29,NOP,NBA,PG,61,18,1262,183,445,.411,81,203,.399,102,242,.421,.502,84,99,.848,25,118,143,157,70,5,64,131,
Bryce Dejean-Jones,2015-16,23,NOP,NBA,SG,14,11,279,28,69,.406,12,32,.375,16,37,.432,.493,11,21,.524,8,40,48,15,10,2,11,17,
Tim Frazier,2015-16,25,TOT,NBA,PG,51,2,741,96,229,.419,16,48,.333,80,181,.442,.454,53,74,.716,26,84,110,162,33,2,65,73,
James Ennis,2015-16,25,TOT,NBA,SF,22,5,329,54,113,.478,26,58,.448,28,55,.509,.593,25,34,.735,21,21,42,21,16,5,19,28,
Jordan Hamilton,2015-16,25,NOP,NBA,SF,11,4,304,49,116,.422,13,45,.289,36,71,.507,.478,14,21,.667,12,50,62,25,8,3,17,24,
