Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Philadelphia 76ers,,2015-16 Philadelphia 76ers,NBA,,82,,19805,2970,6887,.431,764,2255,.339,2206,4632,.476,.487,1284,1850,.694,777,2605,3382,1765,680,495,1343,1780,7988,
Nerlens Noel,2015-16,21,PHI,NBA,C,67,62,1965,306,587,.521,1,2,.500,305,585,.521,.522,134,227,.590,154,388,542,122,118,100,158,192,
Isaiah Canaan,2015-16,24,PHI,NBA,SG,77,39,1966,260,722,.360,176,485,.363,84,237,.354,.482,150,180,.833,20,154,174,137,56,12,91,133,
Carl Landry,2015-16,32,PHI,NBA,PF,36,12,569,139,250,.556,6,13,.462,133,237,.561,.568,67,91,.736,49,97,146,32,12,9,22,69,
Hollis Thompson,2015-16,24,PHI,NBA,SG,77,17,2154,270,680,.397,149,392,.380,121,288,.420,.507,69,96,.719,54,218,272,99,36,24,76,187,
Nik Stauskas,2015-16,22,PHI,NBA,SG,73,35,1809,210,545,.385,106,325,.326,104,220,.473,.483,91,118,.771,23,160,183,138,44,20,94,115,
Joel Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,2015-16,21,PHI,NBA,SF,77,52,2066,251,599,.419,35,146,.240,216,453,.477,.448,212,322,.658,99,262,361,135,54,127,110,215,
Robert Covington,2015-16,25,PHI,NBA,SF,67,49,1903,274,712,.385,170,482,.353,104,230,.452,.504,140,177,.791,65,354,419,97,105,40,143,232,
Jahlil Okafor,2015-16,20,PHI,NBA,C,53,48,1591,397,781,.508,1,6,.167,396,775,.511,.509,133,194,.686,122,251,373,65,22,61,124,140,
Richaun Holmes,2015-16,22,PHI,NBA,PF,51,1,702,114,222,.514,8,44,.182,106,178,.596,.532,51,74,.689,62,73,135,33,19,40,32,92,
T.J. McConnell,2015-16,23,PHI,NBA,PG,81,17,1606,218,464,.470,31,89,.348,187,375,.499,.503,26,41,.634,43,207,250,367,95,10,140,114,
Kendall Marshall,2015-16,24,PHI,NBA,PG,30,6,400,43,118,.364,16,49,.327,27,69,.391,.432,9,13,.692,2,26,28,73,16,2,43,30,
Ish Smith,2015-16,27,TOT,NBA,PG,77,53,2239,397,967,.411,56,170,.329,341,797,.428,.440,122,176,.693,43,262,305,502,88,24,175,133,
Elton Brand,2015-16,36,PHI,NBA,C,17,1,225,31,72,.431,0,1,.000,31,71,.437,.431,8,9,.889,9,54,63,18,9,8,11,32,
Christian Wood,2015-16,20,PHI,NBA,PF,17,0,145,22,53,.415,4,11,.364,18,42,.429,.453,13,21,.619,13,25,38,3,5,7,2,11,
