Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Utah Jazz,,2015-16 Utah Jazz,NBA,,82,,19955,2957,6593,.449,694,1956,.355,2263,4637,.488,.501,1402,1885,.744,880,2665,3545,1555,631,425,1224,1655,8010,
Shelvin Mack,2015-16,25,TOT,NBA,PG,52,27,1058,182,415,.439,39,125,.312,143,290,.493,.486,45,61,.738,13,115,128,187,34,3,95,72,
Rudy Gobert,2015-16,23,UTA,NBA,C,61,60,1932,198,354,.559,0,0,,198,354,.559,.559,161,283,.569,208,460,668,91,45,135,114,163,
Trey Burke,2015-16,23,UTA,NBA,PG,64,0,1366,262,634,.413,88,256,.344,174,378,.460,.483,67,82,.817,18,94,112,148,35,6,80,86,
Derrick Favors,2015-16,24,UTA,NBA,PF,62,59,1983,418,811,.515,0,4,.000,418,807,.518,.515,180,254,.709,169,334,503,94,74,91,104,150,
Gordon Hayward,2015-16,25,UTA,NBA,SF,80,80,2893,521,1202,.433,143,410,.349,378,792,.477,.493,393,477,.824,61,336,397,296,95,27,202,183,
Alec Burks,2015-16,24,UTA,NBA,SG,31,3,797,137,334,.410,32,79,.405,105,255,.412,.458,106,141,.752,16,93,109,63,18,4,51,71,
Trevor Booker,2015-16,28,UTA,NBA,PF,79,2,1632,190,388,.490,12,41,.293,178,347,.513,.505,71,106,.670,166,286,452,84,59,41,81,169,
Dante Exum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,2015-16,23,UTA,NBA,SG,79,79,2541,408,972,.420,161,449,.359,247,523,.472,.503,172,200,.860,38,229,267,213,73,16,125,202,
Chris Johnson,2015-16,25,UTA,NBA,SF,70,2,857,72,194,.371,27,99,.273,45,95,.474,.441,34,42,.810,27,105,132,45,32,20,40,100,
Trey Lyles,2015-16,20,UTA,NBA,PF,80,33,1382,191,436,.438,49,128,.383,142,308,.461,.494,57,82,.695,59,240,299,59,26,18,65,114,
Joe Ingles,2015-16,28,UTA,NBA,SF,81,2,1241,124,291,.426,81,210,.386,43,81,.531,.565,13,18,.722,19,132,151,96,55,4,65,98,
Raul Neto,2015-16,23,UTA,NBA,PG,81,53,1499,180,418,.431,64,162,.395,116,256,.453,.507,52,70,.743,17,103,120,174,62,2,109,122,
Tibor Pleiss,2015-16,26,UTA,NBA,C,12,0,82,11,25,.440,0,2,.000,11,23,.478,.440,2,2,1.000,6,9,15,2,1,2,8,19,
Jeff Withey,2015-16,25,UTA,NBA,C,51,10,658,87,162,.537,0,2,.000,87,160,.544,.537,43,59,.729,56,117,173,20,21,53,28,75,
Erick Green,2015-16,24,TOT,NBA,PG,9,0,42,5,13,.385,1,5,.200,4,8,.500,.423,2,2,1.000,3,3,6,3,1,0,0,4,
